player_id,player_name,team_code,player_role,base_minutes,base_usage,base_pir,availability_status,availability_impact,availability_source,availability_note,team_missing_minutes,team_missing_usage,role_missing_minutes,role_missing_usage,same_role_minutes_boost,cross_role_minutes_boost,minutes_penalty,net_minutes_delta,rotation_impact_score,collected_at
P009846,"BRYANT, ELIJAH",HTA,Forward,28.116666666666667,13.0,15.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P009849,"DORSEY, TYLER",OLY,Forward,24.44666666666667,14.8,8.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P009862,"PUNTER, KEVIN",BAR,Guard,27.45333333333333,15.8,14.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P009863,"BALDWIN IV, WADE",ULK,Guard,25.393333333333334,16.0,15.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P009948,"MARCOS, JUANI",BAR,Guard,5.844444444444444,1.0,-1.3333333333333333,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P009992,"BRIZUELA, DARIO",BAR,Guard,14.816666666666666,8.6,8.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010035,"VILLAR, RAFA",BAS,Forward,2.591666666666667,0.0,-0.5,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010042,"MONTERO, JEAN",PAM,Guard,22.583333333333332,15.0,12.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010316,"AJINCA, MELVIN",ASV,Forward,16.046666666666667,7.0,2.4,available,1.0,,,19.25,12.4,19.25,12.4,1.1479483851939243,0.0,0.0,1.1479483851939243,0.07153812122105885,2026-07-06T11:58:42+00:00
P010319,"TRAORE, ARMEL",ASV,Forward,11.653333333333332,3.2,3.6,available,1.0,,,19.25,12.4,19.25,12.4,0.8336575726294057,0.0,0.0,0.8336575726294057,0.07153812122105885,2026-07-06T11:58:42+00:00
P010390,"HAYES, KEVARRIUS",MCO,Center,17.616666666666667,6.2,8.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010391,"WEILER-BABB, NICK",IST,Guard,23.296666666666667,6.6,12.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010393,"PRADILLA, JAIME",PAM,Forward,20.783333333333335,5.0,8.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010431,"MORGAN, JEREMY",PRS,Forward,18.456666666666667,6.0,2.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010444,"COSTELLO, MATTHEW",PAM,Center,16.93,6.8,7.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010545,"SAKO, NEAL",PAM,Forward,14.393333333333334,4.6,7.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010568,"JONES, CHRIS",HTA,Guard,20.556666666666665,11.2,8.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010581,"OSETKOWSKI, DYLAN",PAR,Forward,18.3625,9.25,6.25,available,1.0,Eurohoops,Valencia signs Dylan Osetkowski on a two-year deal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P010750,"DE LARREA, SERGIO",PAM,Guard,13.663333333333332,6.2,7.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011051,"SMAILAGIC, ALEN",VIR,Forward,19.32,8.0,7.8,available,1.0,,,36.10666666666667,16.6,0.0,0.0,0.0,0.4377664261060559,0.0,0.4377664261060559,0.02265871770735279,2026-07-06T11:58:42+00:00
P011078,"THOMPSON, DARIUS",PAM,Guard,20.356666666666666,9.4,16.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011085,"ROGKAVOPOULOS, NIKOLAOS",PAN,Forward,8.286666666666667,4.2,0.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011157,"MOTLEY, JOHNATHAN",HTA,Forward,10.39,3.4,3.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011193,"BLATT, TAMIR",TEL,Guard,18.413333333333334,6.8,11.2,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.6586314166438126,0.0,0.6586314166438126,0.03576926592924399,2026-07-06T11:58:42+00:00
